Timestamp,Host,Jitter(ms),Success
2025-06-16 16:44:11,RCD2AES601.mi.corp.rockfin.com,72.10,True
2025-06-16 16:44:34,RCD1AES601.mi.corp.rockfin.com,257.93,True
2025-06-16 16:48:19,RCD2AES601.mi.corp.rockfin.com,9.27,True
2025-06-16 16:48:30,RCD1AES601.mi.corp.rockfin.com,13.85,True
2025-06-16 16:52:05,RCD2AES601.mi.corp.rockfin.com,9.55,True
2025-06-16 16:52:16,RCD1AES601.mi.corp.rockfin.com,31.45,True
2025-06-16 17:15:20,RCD2AES601.mi.corp.rockfin.com,51.87,True
2025-06-16 17:15:32,RCD1AES601.mi.corp.rockfin.com,51.15,True
2025-06-16 17:16:39,RCD2AES601.mi.corp.rockfin.com,173.26,True
2025-06-16 17:16:51,RCD1AES601.mi.corp.rockfin.com,91.70,True
2025-06-16 17:18:09,RCD2AES601.mi.corp.rockfin.com,235.24,True
2025-06-16 17:18:37,RCD1AES601.mi.corp.rockfin.com,168.90,True
2025-06-16 17:19:49,RCD2AES601.mi.corp.rockfin.com,9.67,True
2025-06-16 17:20:00,RCD1AES601.mi.corp.rockfin.com,7.79,True
2025-06-16 17:21:05,RCD2AES601.mi.corp.rockfin.com,10.92,True
2025-06-16 17:21:16,RCD1AES601.mi.corp.rockfin.com,29.13,True
2025-06-16 17:22:59,RCD2AES601.mi.corp.rockfin.com,13.70,True
2025-06-16 17:23:10,RCD1AES601.mi.corp.rockfin.com,22.03,True
2025-06-16 17:24:15,RCD2AES601.mi.corp.rockfin.com,22.76,True
2025-06-16 17:24:26,RCD1AES601.mi.corp.rockfin.com,23.34,True
2025-06-16 17:29:44,RCD2AES601.mi.corp.rockfin.com,7.57,True
2025-06-16 17:29:56,RCD1AES601.mi.corp.rockfin.com,113.48,True
